rxn_id,kind,pred_score,ensemble,n_int
DDGLK,oe,0.6546695483445648,0.6546695483445648,1
GMHEPK,oe,0.6546411960258096,0.6546411960258096,1
DSERDHr,oe,0.6546284718236591,0.6546284718236591,1
AP4AS,down,0.654581029627191,0.654581029627191,1
4PEPTtex,ko,0.6545475137672309,0.6545475137672309,1
APH120,down,0.6545259022721682,0.6545259022721682,1
OPHHX3,down,0.6544814229285377,0.6544814229285377,1
DGSNt2pp,down,0.6544597816694674,0.6544597816694674,1
EDTXS3,ko,0.6544512067122524,0.6544512067122524,1
INSK,ko,0.6543656662041624,0.6543656662041624,1
GLCt2pp,oe,0.6543439819573373,0.6543439819573373,1
PG140abcpp,ko,0.6542387679064362,0.6542387679064362,1
PLIPA1G160pp,ko,0.654211119349951,0.654211119349951,1
PG140abcpp,down,0.6541479430123665,0.6541479430123665,1
ARBt3ipp,down,0.6541184947202554,0.6541184947202554,1
LYXt2pp,down,0.6541184947202554,0.6541184947202554,1
DHNCOAS,down,0.6541114154174227,0.6541114154174227,1
NADN,oe,0.6540967852769635,0.6540967852769635,1
MALTTRabcpp,ko,0.6540835981635571,0.6540835981635571,1
FA161ACPHi,down,0.6540818011480264,0.6540818011480264,1
ASPtex,down,0.6539865666870446,0.6539865666870446,1
XANtpp,down,0.6538688596288131,0.6538688596288131,1
APG3PAT181,down,0.6538631750760581,0.6538631750760581,1
FEENTERabcpp,ko,0.6538503474501934,0.6538503474501934,1
FE3DHBZSabcpp,ko,0.6538503474501934,0.6538503474501934,1
PLIPA1G161pp,ko,0.6538463241301007,0.6538463241301007,1
LPLIPAL1G161pp,ko,0.6538272334520824,0.6538272334520824,1
DHAtpp,down,0.6538197997228061,0.6538197997228061,1
PLIPA2G181pp,down,0.6537955842484903,0.6537955842484903,1
GHBDHx,oe,0.6537637988318302,0.6537637988318302,1
FEENTERtpp,ko,0.6536686771456427,0.6536686771456427,1
PGPP141,down,0.6536512379073565,0.6536512379073565,1
DASYN180,ko,0.6536043535349277,0.6536043535349277,1
FTHFD,oe,0.6535863909905244,0.6535863909905244,1
GLCTR3,down,0.6535541895193715,0.6535541895193715,1
ACACT5r,oe,0.65355068916236,0.65355068916236,1
PSSA180,down,0.6535477077327584,0.6535477077327584,1
RHAT1,down,0.6535162935046159,0.6535162935046159,1
HEPT4,down,0.6534935428006718,0.6534935428006718,1
ADK3,oe,0.6534645698100893,0.6534645698100893,1
S2FE2ST,ko,0.6533422039763314,0.6533422039763314,1
MOGDS,down,0.65333971144201,0.65333971144201,1
GNK,oe,0.653244981654069,0.653244981654069,1
UDPGALM,ko,0.6532379988311477,0.6532379988311477,1
METDtex,oe,0.6532003422350833,0.6532003422350833,1
HEX7,ko,0.6531848109633878,0.6531848109633878,1
TDP,ko,0.6531471407511928,0.6531471407511928,1
ACPS1,down,0.6530962152797387,0.6530962152797387,1
BWCOS,oe,0.6530897395871851,0.6530897395871851,1
LPLIPAL1A160pp,ko,0.6530878993525399,0.6530878993525399,1
G3PSabcpp,ko,0.6530845022346119,0.6530845022346119,1
ALAALAD,down,0.653058918577489,0.653058918577489,1
MDH2,oe,0.6530340553294653,0.6530340553294653,1
GLYCTO4,down,0.6530340528708443,0.6530340528708443,1
LPLIPAL1A161pp,ko,0.6530187437566704,0.6530187437566704,1
LPLIPAL1E180pp,ko,0.6530187437566704,0.6530187437566704,1
LPLIPAL1G141pp,ko,0.6530187437566704,0.6530187437566704,1
LPLIPAL1G180pp,ko,0.6530187437566704,0.6530187437566704,1
NTPP6,ko,0.6529735854135984,0.6529735854135984,1
LPLIPAL2ATE180,down,0.6528377300754158,0.6528377300754158,1
AP4AH,down,0.6528274093653997,0.6528274093653997,1
TDPADGAT,oe,0.6528124191985943,0.6528124191985943,1
CLPNH160pp,down,0.6527841430144896,0.6527841430144896,1
CLPNH161pp,down,0.6527841430144896,0.6527841430144896,1
LIPAHTex,down,0.6527477637167843,0.6527477637167843,1
PAPA181pp,ko,0.6527427594682138,0.6527427594682138,1
HEPT1,ko,0.6526857698402371,0.6526857698402371,1
FRD3,down,0.6526463604831052,0.6526463604831052,1
NMNt7pp,down,0.6526298563966151,0.6526298563966151,1
3HCINNMH,ko,0.6525543344134378,0.6525543344134378,1
GSPMDS,ko,0.6525110993604788,0.6525110993604788,1
PSSA181,ko,0.65250701127047,0.65250701127047,1
ALLTNt2rpp,down,0.6525021331243928,0.6525021331243928,1
MAN6Ptex,down,0.65249626381935,0.65249626381935,1
TDSR2,oe,0.6524364662792557,0.6524364662792557,1
TDSR1,oe,0.6524364662792557,0.6524364662792557,1
EAR120x,down,0.6524129220914088,0.6524129220914088,1
FACOAL141t2pp,ko,0.6523958393345216,0.6523958393345216,1
HCINNMt2rpp,down,0.6523386821278685,0.6523386821278685,1
HPPPNt2rpp,down,0.6523386821278685,0.6523386821278685,1
HCYSMT2,down,0.6523234285285232,0.6523234285285232,1
TAURtex,down,0.6523164370880733,0.6523164370880733,1
MSO3tex,down,0.6523164370880733,0.6523164370880733,1
GUAtpp,ko,0.6523061823836155,0.6523061823836155,1
MDH3,down,0.6522823705998969,0.6522823705998969,1
TAURabcpp,ko,0.6522498196741562,0.6522498196741562,1
PE181abcpp,ko,0.6522037144096052,0.6522037144096052,1
ADNtex,ko,0.6521820114876584,0.6521820114876584,1
G3PIabcpp,ko,0.6521602251284094,0.6521602251284094,1
EAR120x,oe,0.6520990268006644,0.6520990268006644,1
MALDDH,oe,0.6520807454095668,0.6520807454095668,1
PROGLYabcpp,ko,0.6519719967563113,0.6519719967563113,1
CYSDabcpp,ko,0.6519719967563113,0.6519719967563113,1
DAPabcpp,ko,0.6519719967563113,0.6519719967563113,1
AACPS9,down,0.6519376786522098,0.6519376786522098,1
AACPS1,down,0.6519376786522098,0.6519376786522098,1
DHMPTR,down,0.6519335361839461,0.6519335361839461,1
MALTabcpp,ko,0.6519232136886892,0.6519232136886892,1
FESD2s,down,0.6518891691054897,0.6518891691054897,1
GUAPRT,down,0.6518807626851595,0.6518807626851595,1
MTAN,oe,0.651869915830553,0.651869915830553,1
ADPT,down,0.6518159389936781,0.6518159389936781,1
INDOLEt2rpp,down,0.6518121961169466,0.6518121961169466,1
AHCYSNS,oe,0.6517613733070964,0.6517613733070964,1
NMNPtpp,down,0.6517413531708672,0.6517413531708672,1
ICHORS_copy2,oe,0.6517219682807222,0.6517219682807222,1
PSD141,ko,0.6517161333765409,0.6517161333765409,1
AACPS9,ko,0.6517115388148804,0.6517115388148804,1
AACPS1,ko,0.6517115388148804,0.6517115388148804,1
PLIPA2E160pp,ko,0.6517102110072924,0.6517102110072924,1
HPYRRx,oe,0.6516952499243108,0.6516952499243108,1
FORtppi,down,0.6516951093541872,0.6516951093541872,1
LIPACabcpp,ko,0.6516413365187693,0.6516413365187693,1
FA160ACPHi,down,0.6516322090804054,0.6516322090804054,1
EDTXS1,down,0.6515472147959278,0.6515472147959278,1
P5CD,oe,0.6515223183780743,0.6515223183780743,1
GUI1,oe,0.6514905694140644,0.6514905694140644,1
XTSNtex,ko,0.6514837434198956,0.6514837434198956,1
ADEtex,ko,0.6514837434198956,0.6514837434198956,1
DMSOtpp,oe,0.6514767751413677,0.6514767751413677,1
GALabcpp,down,0.6514682897146354,0.6514682897146354,1
CHLabcpp,down,0.6514682897146354,0.6514682897146354,1
3PEPTabcpp,down,0.6514360799443865,0.6514360799443865,1
4PEPTabcpp,down,0.6514360799443865,0.6514360799443865,1
SERTRS2,down,0.651433979759987,0.651433979759987,1
ACOLIPAabctex,oe,0.6514244009112692,0.6514244009112692,1
COLIPAPabctex,oe,0.6514244009112692,0.6514244009112692,1
CLIPAabctex,oe,0.6514244009112692,0.6514244009112692,1
TARTD,oe,0.6513663640659235,0.6513663640659235,1
LPLIPAL2ATG161,down,0.6513658915437112,0.6513658915437112,1
